"train/global_step","solar-yogurt-1 - train/reward","solar-yogurt-1 - train/reward__MIN","solar-yogurt-1 - train/reward__MAX","solar-yogurt-1 - _step","solar-yogurt-1 - _step__MIN","solar-yogurt-1 - _step__MAX"
"5","0.05820125043392181","0.05820125043392181","0.05820125043392181","55","55","55"
"10","0.06200499907135963","0.06200499907135963","0.06200499907135963","111","111","111"
"15","0.05518125146627426","0.05518125146627426","0.05518125146627426","167","167","167"
"20","0.07156500220298767","0.07156500220298767","0.07156500220298767","223","223","223"
"25","0.07543749958276749","0.07543749958276749","0.07543749958276749","279","279","279"
"30","0.07786874920129776","0.07786874920129776","0.07786874920129776","335","335","335"
"35","0.08484875112771988","0.08484875112771988","0.08484875112771988","391","391","391"
"40","0.08640999794006347","0.08640999794006347","0.08640999794006347","447","447","447"
"45","0.0937237486243248","0.0937237486243248","0.0937237486243248","503","503","503"
"50","0.09615000039339065","0.09615000039339065","0.09615000039339065","559","559","559"
"55","0.09882000088691711","0.09882000088691711","0.09882000088691711","615","615","615"
"60","0.10103999972343444","0.10103999972343444","0.10103999972343444","671","671","671"
"65","0.1022700011730194","0.1022700011730194","0.1022700011730194","727","727","727"
"70","0.09681000113487244","0.09681000113487244","0.09681000113487244","783","783","783"
"75","0.10202000290155411","0.10202000290155411","0.10202000290155411","839","839","839"
"80","0.10233000069856643","0.10233000069856643","0.10233000069856643","895","895","895"
"85","0.10267000198364258","0.10267000198364258","0.10267000198364258","951","951","951"
"90","0.10332000106573105","0.10332000106573105","0.10332000106573105","1007","1007","1007"
"95","0.10353000313043595","0.10353000313043595","0.10353000313043595","1063","1063","1063"
"100","0.10351000279188156","0.10351000279188156","0.10351000279188156","1119","1119","1119"
"105","0.10398000180721283","0.10398000180721283","0.10398000180721283","1175","1175","1175"
"110","0.10313000231981277","0.10313000231981277","0.10313000231981277","1231","1231","1231"
"115","0.10253000110387803","0.10253000110387803","0.10253000110387803","1287","1287","1287"
"120","0.10352000296115875","0.10352000296115875","0.10352000296115875","1343","1343","1343"
"125","0.10380000174045563","0.10380000174045563","0.10380000174045563","1399","1399","1399"
"130","0.10468000024557114","0.10468000024557114","0.10468000024557114","1455","1455","1455"
"135","0.10337000191211701","0.10337000191211701","0.10337000191211701","1511","1511","1511"
"140","0.10309000164270402","0.10309000164270402","0.10309000164270402","1567","1567","1567"
"145","0.10393999814987183","0.10393999814987183","0.10393999814987183","1623","1623","1623"
"150","0.10405000299215317","0.10405000299215317","0.10405000299215317","1679","1679","1679"
"155","0.10437000095844269","0.10437000095844269","0.10437000095844269","1735","1735","1735"
"160","0.10524000078439713","0.10524000078439713","0.10524000078439713","1791","1791","1791"
"165","0.10494000166654587","0.10494000166654587","0.10494000166654587","1847","1847","1847"
"170","0.10484000146389008","0.10484000146389008","0.10484000146389008","1903","1903","1903"
"175","0.10570000261068344","0.10570000261068344","0.10570000261068344","1959","1959","1959"
"180","0.1042000025510788","0.1042000025510788","0.1042000025510788","2015","2015","2015"
"185","0.10410999953746795","0.10410999953746795","0.10410999953746795","2071","2071","2071"
"190","0.1040699988603592","0.1040699988603592","0.1040699988603592","2127","2127","2127"
"195","0.1047999992966652","0.1047999992966652","0.1047999992966652","2183","2183","2183"
"200","0.10653000026941299","0.10653000026941299","0.10653000026941299","2239","2239","2239"
"205","0.10502999871969224","0.10502999871969224","0.10502999871969224","2295","2295","2295"
"210","0.10532999634742737","0.10532999634742737","0.10532999634742737","2351","2351","2351"
"215","0.10509999841451645","0.10509999841451645","0.10509999841451645","2407","2407","2407"
"220","0.10521999895572662","0.10521999895572662","0.10521999895572662","2463","2463","2463"
"225","0.10533999800682067","0.10533999800682067","0.10533999800682067","2519","2519","2519"
"230","0.10611000061035156","0.10611000061035156","0.10611000061035156","2575","2575","2575"
"235","0.10503000020980835","0.10503000020980835","0.10503000020980835","2631","2631","2631"
"240","0.10620999932289124","0.10620999932289124","0.10620999932289124","2687","2687","2687"
"245","0.10555000007152557","0.10555000007152557","0.10555000007152557","2743","2743","2743"
"250","0.10505999773740768","0.10505999773740768","0.10505999773740768","2799","2799","2799"
"255","0.10630999803543091","0.10630999803543091","0.10630999803543091","2855","2855","2855"
"260","0.10557999908924103","0.10557999908924103","0.10557999908924103","2911","2911","2911"
"265","0.10522000044584275","0.10522000044584275","0.10522000044584275","2967","2967","2967"
"270","0.1060499981045723","0.1060499981045723","0.1060499981045723","3023","3023","3023"
"275","0.10617999881505966","0.10617999881505966","0.10617999881505966","3079","3079","3079"
"280","0.10583000034093856","0.10583000034093856","0.10583000034093856","3135","3135","3135"
"285","0.10541999936103821","0.10541999936103821","0.10541999936103821","3191","3191","3191"
"290","0.1053199976682663","0.1053199976682663","0.1053199976682663","3247","3247","3247"
"295","0.1059799998998642","0.1059799998998642","0.1059799998998642","3303","3303","3303"
"300","0.10600000023841857","0.10600000023841857","0.10600000023841857","3359","3359","3359"
